Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::stride         0.00%       0.197us         0.00%       0.197us       0.197us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.216us         0.00%       0.216us       0.216us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.185us         0.00%       0.185us       0.185us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.03%       3.638us         0.03%       3.638us       3.638us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.01%       0.985us         0.01%       0.985us       0.985us       0.000us         0.00%       0.000us       0.000us             1  
            aten::feature_dropout         0.16%      23.348us         0.99%     140.846us     140.846us      25.854us         0.18%     139.264us     139.264us             1  
                      aten::empty         0.02%       3.125us         0.02%       3.125us       3.125us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::bernoulli_         0.20%      28.520us         0.20%      28.520us      28.520us      28.513us         0.20%      28.513us      28.513us             1  
                       aten::div_         0.31%      44.749us         0.31%      44.749us      44.749us      44.032us         0.31%      44.032us      44.032us             1  
                        aten::mul         0.25%      35.652us         0.29%      41.104us      41.104us      40.864us         0.28%      40.864us      40.864us             1  
                      aten::empty         0.04%       5.452us         0.04%       5.452us       5.452us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::flatten         0.06%       8.199us         0.13%      17.927us      17.927us       7.167us         0.05%      16.384us      16.384us             1  
                    aten::reshape         0.03%       4.211us         0.07%       9.728us       9.728us       9.217us         0.06%       9.217us       9.217us             1  
                       aten::view         0.04%       5.517us         0.04%       5.517us       5.517us       0.000us         0.00%       0.000us       0.000us             1  
                          aten::t         0.07%       9.583us         0.10%      14.752us      14.752us       0.000us         0.00%       0.000us       0.000us             1  
                  aten::transpose         0.02%       2.682us         0.04%       5.169us       5.169us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::as_strided         0.02%       2.487us         0.02%       2.487us       2.487us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::addmm        10.45%       1.493ms        10.51%       1.501ms       1.501ms       1.691ms        11.75%       1.691ms       1.691ms             1  
                      aten::empty         0.01%       1.256us         0.01%       1.256us       1.256us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::expand         0.02%       2.211us         0.02%       2.788us       2.788us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::as_strided         0.00%       0.577us         0.00%       0.577us       0.577us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.02%       2.919us         0.02%       2.919us       2.919us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.419us         0.00%       0.419us       0.419us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       0.813us         0.01%       0.813us       0.813us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.206us         0.00%       0.206us       0.206us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::relu         0.11%      15.234us         0.23%      33.402us      33.402us       6.144us         0.04%      10.239us      10.239us             1  
                  aten::threshold         0.10%      13.807us         0.13%      18.168us      18.168us       4.096us         0.03%       4.096us       4.096us             1  
                      aten::empty         0.03%       4.361us         0.03%       4.361us       4.361us       0.000us         0.00%       0.000us       0.000us             1  
            aten::feature_dropout         0.10%      14.619us         0.59%      83.779us      83.779us       5.119us         0.04%      30.720us      30.720us             1  
                      aten::empty         0.02%       3.276us         0.02%       3.276us       3.276us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::bernoulli_         0.11%      15.460us         0.11%      15.460us      15.460us       8.191us         0.06%       8.191us       8.191us             1  
                       aten::div_         0.17%      24.808us         0.17%      24.808us      24.808us      10.241us         0.07%      10.241us      10.241us             1  
                        aten::mul         0.17%      24.000us         0.18%      25.616us      25.616us       7.168us         0.05%       7.168us       7.168us             1  
                      aten::empty         0.01%       1.616us         0.01%       1.616us       1.616us       0.000us         0.00%       0.000us       0.000us             1  
                          aten::t         0.05%       6.524us         0.07%       9.855us       9.855us       0.000us         0.00%       0.000us       0.000us             1  
                  aten::transpose         0.01%       1.866us         0.02%       3.331us       3.331us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::as_strided         0.01%       1.465us         0.01%       1.465us       1.465us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::addmm         0.36%      51.038us         0.40%      57.330us      57.330us      15.359us         0.11%      15.359us      15.359us             1  
                      aten::empty         0.01%       1.073us         0.01%       1.073us       1.073us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::expand         0.01%       1.499us         0.01%       2.128us       2.128us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::as_strided         0.00%       0.629us         0.00%       0.629us       0.629us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.02%       2.271us         0.02%       2.271us       2.271us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.368us         0.00%       0.368us       0.368us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.214us         0.00%       0.214us       0.214us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.238us         0.00%       0.238us       0.238us       0.000us         0.00%       0.000us       0.000us             1  
                aten::log_softmax         0.08%      11.288us         0.36%      51.597us      51.597us       9.217us         0.06%      50.176us      50.176us             1  
               aten::_log_softmax         0.23%      32.288us         0.28%      40.309us      40.309us      38.975us         0.27%      40.959us      40.959us             1  
                 aten::contiguous         0.02%       2.231us         0.02%       2.231us       2.231us       1.984us         0.01%       1.984us       1.984us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.288ms
CUDA time total: 14.391ms

