Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.07%      20.052us         0.08%      23.865us      23.865us      25.568us         0.09%      25.568us      25.568us             1  
                 aten::as_strided         0.01%       3.813us         0.01%       3.813us       3.813us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.03%       9.282us         0.05%      15.470us      15.470us      15.360us         0.05%      15.360us      15.360us             1  
                       aten::view         0.02%       6.188us         0.02%       6.188us       6.188us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.06%      18.702us        74.45%      21.710ms      21.710ms       4.288us         0.01%      22.091ms      22.091ms             1  
                aten::convolution         0.04%      12.598us        74.38%      21.691ms      21.691ms       5.122us         0.02%      22.087ms      22.087ms             1  
               aten::_convolution         0.16%      46.747us        74.34%      21.679ms      21.679ms      10.237us         0.03%      22.082ms      22.082ms             1  
                 aten::contiguous         0.02%       6.989us         0.02%       6.989us       6.989us       2.048us         0.01%       2.048us       2.048us             1  
          aten::cudnn_convolution        71.24%      20.776ms        72.09%      21.023ms      21.023ms      21.642ms        72.19%      21.651ms      21.651ms             1  
                      aten::empty         0.03%      10.044us         0.03%      10.044us      10.044us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.04%      11.315us         0.04%      11.315us      11.315us       5.120us         0.02%       5.120us       5.120us             1  
                    aten::resize_         0.73%     213.809us         0.73%     213.809us     213.809us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%       4.213us         0.01%       4.213us       4.213us       4.096us         0.01%       4.096us       4.096us             1  
                    aten::resize_         0.00%       0.464us         0.00%       0.464us       0.464us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.132us         0.00%       1.132us       1.132us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.295us         0.00%       0.295us       0.295us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.325us         0.00%       0.325us       0.325us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.247us         0.00%       0.247us       0.247us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.02%       4.845us         0.02%       4.845us       4.845us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.02%       4.604us         0.06%      17.556us      17.556us       1.023us         0.00%       1.023us       1.023us             1  
                       aten::view         0.04%      12.952us         0.04%      12.952us      12.952us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         2.00%     584.531us         2.00%     584.531us     584.531us     416.770us         1.39%     416.770us     416.770us             1  
