Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.28%      37.818us         0.32%      43.754us      43.754us      44.032us         0.32%      44.032us      44.032us             1  
                 aten::as_strided         0.04%       5.936us         0.04%       5.936us       5.936us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.17%      22.396us         0.24%      32.499us      32.499us      32.768us         0.24%      32.768us      32.768us             1  
                       aten::view         0.07%      10.103us         0.07%      10.103us      10.103us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.26%      35.574us        85.10%      11.477ms      11.477ms      32.768us         0.24%      11.561ms      11.561ms             1  
                aten::convolution         0.11%      15.318us        84.83%      11.441ms      11.441ms      14.336us         0.11%      11.528ms      11.528ms             1  
               aten::_convolution         0.44%      59.971us        84.72%      11.426ms      11.426ms      55.296us         0.41%      11.514ms      11.514ms             1  
                 aten::contiguous         0.10%      13.873us         0.10%      13.873us      13.873us       7.168us         0.05%       7.168us       7.168us             1  
          aten::cudnn_convolution        83.24%      11.226ms        83.61%      11.276ms      11.276ms      11.430ms        83.92%      11.441ms      11.441ms             1  
                      aten::empty         0.13%      18.061us         0.13%      18.061us      18.061us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.03%       4.524us         0.03%       4.524us       4.524us       4.128us         0.03%       4.128us       4.128us             1  
                    aten::resize_         0.06%       7.894us         0.06%       7.894us       7.894us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.06%       7.793us         0.06%       7.793us       7.793us       7.328us         0.05%       7.328us       7.328us             1  
                    aten::resize_         0.01%       0.918us         0.01%       0.918us       0.918us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.367us         0.01%       1.367us       1.367us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.240us         0.00%       0.240us       0.240us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.218us         0.00%       0.218us       0.218us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.207us         0.00%       0.207us       0.207us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.06%       8.509us         0.06%       8.509us       8.509us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.04%       5.436us         0.17%      22.922us      22.922us       1.024us         0.01%       1.024us       1.024us             1  
                       aten::view         0.13%      17.486us         0.13%      17.486us      17.486us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.40%      53.370us         0.40%      53.370us      53.370us       9.216us         0.07%       9.216us       9.216us             1  
